ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,LoopDesc
284,TTS,1,FEEDER,17009,17009,Clementi Ave 4
285,TTS,1,FEEDER,17009,17009,Pandan Loop
333,TTS,1,FEEDER,28009,28009,Jurong East St 32
334,TTS,1,FEEDER,28009,28009,Jurong West St 42
335,TTS,1,FEEDER,28009,28009,Jurong West St 41
41,TTS,1,TRUNK,28009,28009,Jln Anak Bt
49,TTS,1,TRUNK,28009,28009,Jurong West St 42
651,TTS,1,CITY_LINK,27461,03391,
651,TTS,2,CITY_LINK,03539,27469,
653,TTS,1,CITY_LINK,43811,03391,
653,TTS,2,CITY_LINK,03539,43268,
656,TTS,1,CITY_LINK,58121,03218,
656,TTS,2,CITY_LINK,03241,58129,
657,TTS,1,CITY_LINK,28539,03391,
657,TTS,2,CITY_LINK,03539,28531,
66,TTS,1,TRUNK,28009,28009,Upp Bt Timah Rd
663,TTS,1,CITY_LINK,59591,03218,
663,TTS,2,CITY_LINK,03241,59599,
670,TTS,1,CITY_LINK,59219,03391,
670,TTS,2,CITY_LINK,03539,59211,
77,TTS,1,TRUNK,43009,02099,
77,TTS,2,TRUNK,02099,43009,
78,TTS,1,TRUNK,28301,28211,Clementi Ave 3
78A,TTS,1,TRUNK,28301,29121,
79,TTS,1,TRUNK,22009,22009,Jurong Gateway Rd
79A,TTS,1,TRUNK,22009,28249,
801,TTS,1,FEEDER,59009,59009,Yishun Ave 1
825,TTS,1,TRUNK,55509,55509,Lentor Loop
853,TTS,1,TRUNK,59009,80009,
853,TTS,2,TRUNK,80009,59009,
853M,TTS,1,TRUNK,59009,94009,
853M,TTS,2,TRUNK,94009,59009,
854,TTS,1,TRUNK,59009,84009,
854,TTS,2,TRUNK,84009,59009,
854e,TTS,1,EXPRESS,59009,84009,
855,TTS,1,TRUNK,59009,14009,
855,TTS,2,TRUNK,14009,59009,
856,TTS,1,TRUNK,59009,46009,
856,TTS,2,TRUNK,46009,59009,
856A,TTS,1,TRUNK,46009,46069,Woodlands Ctr Rd
856B,TTS,1,TRUNK,47201,58159,Canberra Rd
857,TTS,1,TRUNK,59009,59009,Temasek Ave
857A,TTS,1,TRUNK,59009,55081,
857B,TTS,1,TRUNK,59009,02161,
858,TTS,1,TRUNK,46009,46009,PTB2 Basement
858A,TTS,1,TRUNK,46009,59073,
858B,TTS,1,TRUNK,68111,68119,
859,TTS,1,TRUNK,58009,58009,Yishun Ave 2
859A,TTS,1,TRUNK,58009,58009,Admiralty Link
859B,TTS,1,TRUNK,58009,58009,Sembawang Cres
859T,TTS,1,TRUNK,58009,59009,
882,TTS,1,TRUNK,58009,58009,Sembawang Rd
882A,TTS,1,TRUNK,58009,58501,
883,TTS,1,TRUNK,58009,58009,Yishun Ctrl 2
883B,TTS,1,TRUNK,59079,58049,
883M,TTS,1,TRUNK,58009,58009,Sembawang Rd
941,TTS,1,FEEDER,43009,43009,Bukit Batok West Avenue 9
944,TTS,1,FEEDER,43009,43009,Bt Batok Rd
945,TTS,1,FEEDER,43009,43009,Bt Batok St 34
947,TTS,1,FEEDER,43009,43009,Bt Batok Rd
96,TTS,1,TRUNK,17009,17009,Kent Ridge Cres
963,TTS,1,TRUNK,46009,14009,
963,TTS,2,TRUNK,14009,46009,
963e,TTS,1,EXPRESS,46009,14009,
963e,TTS,2,EXPRESS,14009,46009,
965,TTS,1,TRUNK,47009,47009,Sengkang Sq
965A,TTS,1,TRUNK,47009,59073,
965T,TTS,1,TRUNK,47009,67009,
966,TTS,1,TRUNK,46009,46009,Marine Parade Rd
966A,TTS,1,TRUNK,46009,92041,
969,TTS,1,TRUNK,46009,75009,
969,TTS,2,TRUNK,75009,46009,
969A,TTS,1,TRUNK,75009,59079,
96A,TTS,1,TRUNK,17009,16169,
96B,TTS,1,TRUNK,16199,17171,
97,TTS,1,TRUNK,28009,02099,
97,TTS,2,TRUNK,02099,28009,
97e,TTS,1,EXPRESS,28009,02099,
97e,TTS,2,EXPRESS,02099,28009,
98,TTS,1,TRUNK,28009,28009,Jurong Pier Way
980,TTS,1,TRUNK,58009,80009,
980,TTS,2,TRUNK,80009,58009,
981,TTS,1,TRUNK,58009,47199,
981,TTS,2,TRUNK,47121,58009,
98A,TTS,1,TRUNK,28091,21179,
98B,TTS,1,TRUNK,28501,21099,
98M,TTS,1,TRUNK,28009,28009,Corporation Rd
990,TTS,1,TRUNK,43009,43009,Jurong Gateway Rd
