ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance
10,SBST,1,1,75009,0
10,SBST,1,2,76059,0.6
10,SBST,1,3,76069,1.1
10,SBST,1,4,96289,2.3
10,SBST,1,5,96109,2.7
10,SBST,1,6,85079,3.3
10,SBST,1,7,85089,3.5
10,SBST,1,8,85069,3.8
10,SBST,1,9,85059,4.1
10,SBST,1,10,85049,4.5
10,SBST,1,11,85039,4.8
10,SBST,1,12,85029,5
10,SBST,1,13,85019,5.2
10,SBST,1,14,94079,5.5
10,SBST,1,15,94069,6.1
10,SBST,1,16,94059,6.4
10,SBST,1,17,94049,6.8
10,SBST,1,18,94089,7
10,SBST,1,19,94039,7.3
10,SBST,1,20,94029,7.7
10,SBST,1,21,94019,7.9
10,SBST,1,22,93099,8.3
10,SBST,1,23,93089,8.8
10,SBST,1,24,93079,9.1
10,SBST,1,25,93069,9.4
10,SBST,1,26,93059,9.8
10,SBST,1,27,92159,10.1
10,SBST,1,28,92149,10.4
10,SBST,1,29,92139,10.7
10,SBST,1,30,92129,11.2
10,SBST,1,31,92119,11.7
10,SBST,1,32,92109,11.9
10,SBST,1,33,92099,12.2
10,SBST,1,34,92161,12.7
10,SBST,1,35,82071,13.1
10,SBST,1,36,81199,13.9
10,SBST,1,37,81189,14.2
10,SBST,1,38,81179,14.7
10,SBST,1,39,80141,15.3
10,SBST,1,40,80219,16
10,SBST,1,41,80169,17.4
10,SBST,1,42,80159,18.1
10,SBST,1,43,02119,18.6
10,SBST,1,44,03019,19.6
10,SBST,1,45,03059,19.9
10,SBST,1,46,03129,20.3
10,SBST,1,47,03217,20.6
10,SBST,1,48,05649,21.5
10,SBST,1,49,14061,21.8
10,SBST,1,50,14071,22.3
10,SBST,1,51,14081,22.7
10,SBST,1,52,14101,23.1
10,SBST,1,53,14141,23.9
10,SBST,1,54,14121,24.2
10,SBST,1,55,14131,24.6
10,SBST,1,56,14151,25.1
10,SBST,1,57,14161,25.5
10,SBST,1,58,14171,25.9
10,SBST,1,59,15141,26.6
10,SBST,1,60,15151,26.9
10,SBST,1,61,15161,27.1
10,SBST,1,62,15191,27.6
10,SBST,1,63,15201,27.9
10,SBST,1,64,15221,28.5
10,SBST,1,65,16201,28.8
10,SBST,1,66,16011,29.1
10,SBST,1,67,16021,29.6
10,SBST,1,68,16031,29.9
10,SBST,1,69,16041,30.1
10,SBST,1,70,16051,30.4
10,SBST,1,71,16061,30.6
10,SBST,1,72,16071,30.8
10,SBST,1,73,16081,31.1
10,SBST,1,74,16009,31.6
10,SBST,2,1,16009,0
10,SBST,2,2,16089,0.4
10,SBST,2,3,16079,0.7
10,SBST,2,4,16069,1
10,SBST,2,5,16059,1.3
10,SBST,2,6,16049,1.5
10,SBST,2,7,16039,1.7
10,SBST,2,8,16029,2
10,SBST,2,9,16019,2.5
10,SBST,2,10,16209,2.7
10,SBST,2,11,15229,3
10,SBST,2,12,15219,3.2
10,SBST,2,13,15209,3.6
10,SBST,2,14,15199,3.9
10,SBST,2,15,15169,4.4
10,SBST,2,16,15159,4.6
10,SBST,2,17,15149,4.9
10,SBST,2,18,14189,5.3
10,SBST,2,19,14179,5.6
10,SBST,2,20,14169,6
10,SBST,2,21,14159,6.5
10,SBST,2,22,14139,6.9
10,SBST,2,23,14129,7.4
10,SBST,2,24,14119,7.7
10,SBST,2,25,14109,8.4
10,SBST,2,26,14089,8.8
10,SBST,2,27,14069,9.6
10,SBST,2,28,05641,10.2
10,SBST,2,29,03222,10.6
10,SBST,2,30,03111,11.3
10,SBST,2,31,03071,11.6
10,SBST,2,32,03031,11.9
10,SBST,2,33,03011,12.5
10,SBST,2,34,02111,13.1
10,SBST,2,35,80151,13.8
10,SBST,2,36,80161,14.5
10,SBST,2,37,80211,16.1
10,SBST,2,38,80149,16.7
10,SBST,2,39,81171,17.3
10,SBST,2,40,81181,17.8
10,SBST,2,41,81191,18.2
10,SBST,2,42,82079,18.7
10,SBST,2,43,92169,19.2
10,SBST,2,44,92091,19.7
10,SBST,2,45,92101,20
10,SBST,2,46,92111,20.2
10,SBST,2,47,92121,20.7
10,SBST,2,48,92131,21.2
10,SBST,2,49,92141,21.6
10,SBST,2,50,92151,21.8
10,SBST,2,51,93051,22.1
10,SBST,2,52,93061,22.5
10,SBST,2,53,93071,22.9
10,SBST,2,54,93081,23.3
10,SBST,2,55,93091,23.6
10,SBST,2,56,94011,24
10,SBST,2,57,94021,24.4
10,SBST,2,58,94031,24.7
10,SBST,2,59,94041,25.1
10,SBST,2,60,94051,25.5
10,SBST,2,61,94061,26
10,SBST,2,62,94071,26.5
10,SBST,2,63,85021,26.9
10,SBST,2,64,85031,27.3
10,SBST,2,65,85041,27.5
10,SBST,2,66,85051,27.9
10,SBST,2,67,85061,28.2
10,SBST,2,68,85081,28.4
10,SBST,2,69,85071,28.7
10,SBST,2,70,96101,29.1
10,SBST,2,71,96281,29.5
10,SBST,2,72,76061,30.8
10,SBST,2,73,76051,31.3
10,SBST,2,74,75009,31.9
100,SBST,1,1,66009,0
100,SBST,1,2,62129,0.6
100,SBST,1,3,62119,0.9
100,SBST,1,4,61049,1.2
100,SBST,1,5,61039,1.6
100,SBST,1,6,70069,2
100,SBST,1,7,70059,2.7
100,SBST,1,8,70049,2.9
100,SBST,1,9,70039,3.3
100,SBST,1,10,70029,3.6
100,SBST,1,11,70019,4
100,SBST,1,12,81099,4.4
100,SBST,1,13,81089,4.8
100,SBST,1,14,80089,5.3
100,SBST,1,15,80069,5.7
100,SBST,1,16,80049,6.2
100,SBST,1,17,80039,6.4
100,SBST,1,18,80029,6.9
100,SBST,1,19,01339,7.4
100,SBST,1,20,01349,7.7
100,SBST,1,21,01429,8.1
100,SBST,1,22,01419,8.3
100,SBST,1,23,01529,8.7
100,SBST,1,24,01519,8.9
100,SBST,1,25,01629,9.3
100,SBST,1,26,01619,9.7
100,SBST,1,27,02029,10.3
100,SBST,1,28,03019,11.1
100,SBST,1,29,03059,11.4
100,SBST,1,30,03129,11.8
100,SBST,1,31,03217,12.1
100,SBST,1,32,05649,13
100,SBST,1,33,14061,13.3
100,SBST,1,34,14071,13.8
100,SBST,1,35,14081,14.2
100,SBST,1,36,14101,14.6
100,SBST,1,37,14141,15.4
100,SBST,1,38,14121,15.7
100,SBST,1,39,14131,16.1
100,SBST,1,40,14151,16.6
100,SBST,1,41,14161,17
100,SBST,1,42,14171,17.4
100,SBST,1,43,15041,18.1
100,SBST,1,44,15051,18.4
100,SBST,1,45,18011,18.9
100,SBST,1,46,11511,19.5
100,SBST,1,47,11021,20
100,SBST,1,48,11031,20.3
100,SBST,1,49,11041,21
100,SBST,1,50,11051,21.4
100,SBST,1,51,11161,21.9
100,SBST,1,52,11171,22.4
100,SBST,1,53,11181,22.8
100,SBST,1,54,11351,23.3
100,SBST,1,55,11009,23.6
100,SBST,2,1,11009,0
100,SBST,2,2,11359,0.2
100,SBST,2,3,11189,0.6
100,SBST,2,4,11179,0.8
100,SBST,2,5,11169,1.4
100,SBST,2,6,11059,2
100,SBST,2,7,11049,2.4
100,SBST,2,8,11039,2.8
100,SBST,2,9,11029,3.2
100,SBST,2,10,11519,3.8
100,SBST,2,11,18019,4.5
100,SBST,2,12,15059,5
100,SBST,2,13,15049,5.3
100,SBST,2,14,14189,5.7
100,SBST,2,15,14179,6
100,SBST,2,16,14169,6.4
100,SBST,2,17,14159,6.9
100,SBST,2,18,14139,7.3
100,SBST,2,19,14129,7.8
100,SBST,2,20,14119,8.1
100,SBST,2,21,14109,8.8
100,SBST,2,22,14089,9.2
100,SBST,2,23,14069,10
100,SBST,2,24,05641,10.6
100,SBST,2,25,03222,11
100,SBST,2,26,03111,11.7
100,SBST,2,27,03031,12.3
100,SBST,2,28,03011,12.9
100,SBST,2,29,02111,13.5
100,SBST,2,30,01611,14.1
100,SBST,2,31,01621,14.3
100,SBST,2,32,01511,14.6
100,SBST,2,33,01521,14.9
100,SBST,2,34,01411,15.2
100,SBST,2,35,01421,15.5
100,SBST,2,36,01341,16
100,SBST,2,37,80011,16.7
100,SBST,2,38,80031,17.2
100,SBST,2,39,80051,17.5
100,SBST,2,40,80071,17.9
100,SBST,2,41,80091,18.4
100,SBST,2,42,81081,18.6
100,SBST,2,43,81091,19
100,SBST,2,44,70011,19.4
100,SBST,2,45,70021,19.8
100,SBST,2,46,70031,20.1
100,SBST,2,47,70041,20.6
100,SBST,2,48,70051,20.9
100,SBST,2,49,70061,21.4
100,SBST,2,50,61031,21.9
100,SBST,2,51,61041,22.2
100,SBST,2,52,62111,22.6
100,SBST,2,53,62121,22.8
100,SBST,2,54,66009,23.3
100A,SBST,1,1,66009,0
100A,SBST,1,2,62129,0.6
100A,SBST,1,3,62119,0.9
100A,SBST,1,4,61049,1.2
100A,SBST,1,5,61039,1.6
100A,SBST,1,6,70069,2
100A,SBST,1,7,70059,2.7
100A,SBST,1,8,70049,2.9
100A,SBST,1,9,70039,3.3
100A,SBST,1,10,70029,3.6
100A,SBST,1,11,70019,4
100A,SBST,1,12,81099,4.4
100A,SBST,1,13,81089,4.8
101,SBST,1,1,66009,0
101,SBST,1,2,62131,0.5
101,SBST,1,3,62141,0.9
101,SBST,1,4,63011,1.4
101,SBST,1,5,63021,1.9
101,SBST,1,6,63031,2.5
101,SBST,1,7,63041,2.8
101,SBST,1,8,63051,3
101,SBST,1,9,63061,3.3
101,SBST,1,10,64011,3.5
101,SBST,1,11,64541,4.1
101,SBST,1,12,64551,4.4
101,SBST,1,13,64529,4.6
101,SBST,1,14,64339,4.9
101,SBST,1,15,64341,5.1
101,SBST,1,16,64351,5.4
101,SBST,1,17,64431,5.9
101,SBST,1,18,64441,6.2
101,SBST,1,19,64461,6.5
101,SBST,1,20,66499,6.8
101,SBST,1,21,66541,7.1
101,SBST,1,22,66551,7.3
101,SBST,1,23,66561,7.5
101,SBST,1,24,66601,7.7
101,SBST,1,25,66571,7.8
101,SBST,1,26,66581,8.1
101,SBST,1,27,66549,8.6
101,SBST,1,28,66491,8.8
101,SBST,1,29,64619,9.1
101,SBST,1,30,64561,9.4
101,SBST,1,31,64359,9.9
101,SBST,1,32,64349,10.3
101,SBST,1,33,64331,10.7
101,SBST,1,34,64521,11
101,SBST,1,35,64559,11.2
101,SBST,1,36,64549,11.4
101,SBST,1,37,64019,12
101,SBST,1,38,63069,12.3
101,SBST,1,39,63059,12.6
101,SBST,1,40,63049,13
101,SBST,1,41,63039,13.4
101,SBST,1,42,63029,13.9
101,SBST,1,43,63019,14.5
101,SBST,1,44,62149,14.8
101,SBST,1,45,62189,15
101,SBST,1,47,66009,15.7
102,SBST,1,1,64009,0
102,SBST,1,2,64041,0.7
102,SBST,1,3,64051,1.1
102,SBST,1,4,64061,1.6
102,SBST,1,5,64401,2.1
102,SBST,1,6,67739,2.4
102,SBST,1,7,67729,2.8
102,SBST,1,8,67719,3.2
102,SBST,1,9,67609,3.9
102,SBST,1,10,67619,4.3
102,SBST,1,11,67341,4.5
102,SBST,1,12,67199,4.8
102,SBST,1,13,67189,5
102,SBST,1,14,67409,5.3
102,SBST,1,15,67399,5.8
102,SBST,1,16,67389,6.1
102,SBST,1,17,67549,6.4
102,SBST,1,18,67559,7
102,SBST,1,19,67569,7.4
102,SBST,1,20,67639,7.8
102,SBST,1,21,67499,8.2
102,SBST,1,22,68019,8.7
102,SBST,1,23,67091,9
102,SBST,1,24,67991,9.6
102,SBST,1,25,68031,10
102,SBST,1,26,68051,10.3
102,SBST,1,27,68111,10.7
102,SBST,1,28,68099,12.3
102,SBST,1,29,68209,12.9
102,SBST,1,30,68239,13.3
102,SBST,1,31,68201,14.8
102,SBST,1,32,68091,15.2
102,SBST,1,33,68119,16.6
102,SBST,1,34,68059,16.9
102,SBST,1,35,68049,17.1
102,SBST,1,36,68039,17.3
102,SBST,1,37,67999,17.6
102,SBST,1,38,67099,18
102,SBST,1,39,68011,18.3
102,SBST,1,40,67491,18.8
102,SBST,1,41,67631,19.1
102,SBST,1,42,67561,19.6
102,SBST,1,43,67551,20
102,SBST,1,44,67541,20.7
102,SBST,1,45,67381,20.9
102,SBST,1,46,67391,21.2
102,SBST,1,47,67401,21.7
102,SBST,1,48,67181,22.1
102,SBST,1,49,67191,22.3
102,SBST,1,50,67349,22.6
102,SBST,1,51,67611,22.8
102,SBST,1,52,67601,23.3
102,SBST,1,53,67711,23.8
102,SBST,1,54,67721,24.2
102,SBST,1,55,67731,24.6
102,SBST,1,56,64409,25.1
102,SBST,1,57,64069,25.5
102,SBST,1,58,64059,25.9
102,SBST,1,59,64049,26.2
102,SBST,1,60,64009,26.9
102A,SBST,1,1,67409,0
102A,SBST,1,2,67399,0.5
102A,SBST,1,3,67389,0.8
102A,SBST,1,4,67549,1.1
102A,SBST,1,5,67559,1.7
102A,SBST,1,6,67569,2.1
102A,SBST,1,7,67639,2.5
102A,SBST,1,8,67499,2.9
102A,SBST,1,9,68019,3.4
102A,SBST,1,10,67091,3.7
102A,SBST,1,11,67991,4.3
103,SBST,1,1,66009,0
103,SBST,1,2,62131,0.5
103,SBST,1,3,62141,0.9
103,SBST,1,4,63141,1.3
103,SBST,1,5,63361,1.8
103,SBST,1,6,63181,2.2
103,SBST,1,7,63191,2.6
103,SBST,1,8,63201,2.8
103,SBST,1,9,63211,3.1
103,SBST,1,10,64101,3.6
103,SBST,1,11,64111,4
103,SBST,1,12,64121,4.4
103,SBST,1,13,67079,4.7
103,SBST,1,14,67069,5.1
103,SBST,1,15,67059,5.4
103,SBST,1,16,67049,5.8
103,SBST,1,17,67081,6.1
103,SBST,1,18,68011,6.4
103,SBST,1,19,68021,6.8
103,SBST,1,20,68031,7.2
103,SBST,1,21,68051,7.5
103,SBST,1,22,68111,7.9
103,SBST,1,23,68061,8.5
103,SBST,1,24,68091,9.1
103,SBST,1,25,68081,9.4
103,SBST,1,26,68101,9.9
103,SBST,1,27,68121,10.3
103,SBST,1,28,68161,10.8
103,SBST,1,29,68131,11.6
103,SBST,1,30,68141,12.1
103,SBST,1,31,68151,12.5
103,SBST,1,32,68171,14.3
103,SBST,1,33,59779,14.8
103,SBST,1,34,59789,15
103,SBST,1,35,59461,15.6
103,SBST,1,36,59459,16.2
103,SBST,1,37,59709,16.5
103,SBST,1,38,59349,16.8
103,SBST,1,39,58991,17.4
103,SBST,1,40,59009,17.9
103,SBST,2,1,59009,0
103,SBST,2,2,59069,0.2
103,SBST,2,3,59341,1
103,SBST,2,4,59701,1.3
103,SBST,2,5,59651,1.6
103,SBST,2,6,59451,1.9
103,SBST,2,7,59469,2.4
103,SBST,2,8,59781,3
103,SBST,2,9,59771,3.1
103,SBST,2,10,59791,3.4
103,SBST,2,11,68179,3.7
103,SBST,2,12,68159,5.4
103,SBST,2,13,68149,6
103,SBST,2,14,68139,6.3
103,SBST,2,15,68169,7.1
103,SBST,2,16,68129,7.6
103,SBST,2,17,68109,8
103,SBST,2,18,68089,8.4
103,SBST,2,19,68099,8.7
103,SBST,2,20,68069,9.3
103,SBST,2,21,68119,9.9
103,SBST,2,22,68059,10.2
103,SBST,2,23,68049,10.4
103,SBST,2,24,68039,10.6
103,SBST,2,25,68029,11
103,SBST,2,26,68019,11.3
103,SBST,2,27,67089,11.5
103,SBST,2,28,67041,11.9
103,SBST,2,29,67051,12.2
103,SBST,2,30,67061,12.5
103,SBST,2,31,67071,13
103,SBST,2,32,64129,13.3
103,SBST,2,33,64119,13.7
103,SBST,2,34,64109,14.2
103,SBST,2,35,63219,14.6
103,SBST,2,36,63209,14.9
103,SBST,2,37,63199,15.3
103,SBST,2,38,63189,15.6
103,SBST,2,39,63179,15.8
103,SBST,2,40,63369,16.2
103,SBST,2,41,63149,16.4
103,SBST,2,42,62149,16.9
103,SBST,2,43,62189,17.1
103,SBST,2,45,66009,17.8
105,SBST,1,1,66009,0
105,SBST,1,2,66419,0.5
105,SBST,1,3,66409,0.9
105,SBST,1,4,66399,1.3
105,SBST,1,5,66029,1.7
105,SBST,1,6,66019,2.2
105,SBST,1,7,52069,2.7
105,SBST,1,8,52059,2.9
105,SBST,1,9,52361,3.5
105,SBST,1,10,52279,4.1
105,SBST,1,11,52239,4.7
105,SBST,1,12,52189,5
105,SBST,1,13,52079,6.1
105,SBST,1,14,51099,7.3
105,SBST,1,15,40249,8.2
105,SBST,1,16,40239,8.5
105,SBST,1,17,40229,8.9
105,SBST,1,18,40219,9.2
105,SBST,1,19,40209,9.6
105,SBST,1,20,40199,10.1
105,SBST,1,21,09219,10.8
105,SBST,1,22,09111,11.5
105,SBST,1,23,09121,11.8
105,SBST,1,24,09131,12.4
105,SBST,1,25,09141,12.7
105,SBST,1,26,13011,13
105,SBST,1,27,13021,13.6
105,SBST,1,28,11201,13.9
105,SBST,1,29,11211,14.2
105,SBST,1,30,11221,14.7
105,SBST,1,31,11089,15
105,SBST,1,32,11079,15.5
105,SBST,1,33,11069,15.8
105,SBST,1,34,11161,16.4
105,SBST,1,35,11171,16.9
105,SBST,1,36,11181,17.3
105,SBST,1,37,11191,17.8
105,SBST,1,38,19011,18.3
105,SBST,1,39,19021,18.7
105,SBST,1,40,19031,19.1
105,SBST,1,41,19041,19.5
105,SBST,1,42,17151,20.2
105,SBST,1,43,17161,20.5
105,SBST,1,44,17171,20.9
105,SBST,1,45,17181,21.2
105,SBST,1,46,20101,21.5
105,SBST,1,47,28011,22.1
105,SBST,1,48,28021,22.6
105,SBST,1,49,28031,23.1
105,SBST,1,50,28041,23.5
105,SBST,1,51,28659,24.1
105,SBST,1,52,28649,24.8
105,SBST,1,53,28639,25.1
105,SBST,1,54,28319,25.5
105,SBST,1,55,28449,25.8
105,SBST,1,56,28211,26.2
105,SBST,1,57,28009,26.4
105,SBST,2,1,28009,0
105,SBST,2,2,28441,0.7
105,SBST,2,3,28311,1.1
105,SBST,2,4,28631,1.6
105,SBST,2,5,28641,1.9
105,SBST,2,6,28651,2.5
105,SBST,2,7,28049,3.1
105,SBST,2,8,28039,3.5
105,SBST,2,9,28029,3.8
105,SBST,2,10,28019,4.4
105,SBST,2,11,20109,5
105,SBST,2,12,17189,5.4
105,SBST,2,13,17179,5.7
105,SBST,2,14,17169,6
105,SBST,2,15,17159,6.4
105,SBST,2,16,19049,6.9
105,SBST,2,17,19039,7.4
105,SBST,2,18,19029,7.9
105,SBST,2,19,19019,8.2
105,SBST,2,20,11199,8.6
105,SBST,2,21,11189,9.1
105,SBST,2,22,11179,9.3
105,SBST,2,23,11169,9.9
105,SBST,2,24,11061,10.5
105,SBST,2,25,11071,10.9
105,SBST,2,26,11081,11.2
105,SBST,2,27,11229,11.7
105,SBST,2,28,11219,11.9
105,SBST,2,29,11209,12.3
105,SBST,2,30,13029,12.7
105,SBST,2,31,13019,13.4
105,SBST,2,32,09149,13.5
105,SBST,2,33,09159,14.1
105,SBST,2,34,09169,14.4
105,SBST,2,35,09179,14.7
105,SBST,2,36,09213,15.2
105,SBST,2,37,40191,16
105,SBST,2,38,40201,16.4
105,SBST,2,39,40211,16.8
105,SBST,2,40,40221,17
105,SBST,2,41,40231,17.4
105,SBST,2,42,51091,18.9
105,SBST,2,43,51101,19.3
105,SBST,2,44,52071,20.1
105,SBST,2,45,52181,20.7
105,SBST,2,46,52231,20.9
105,SBST,2,47,52271,21.5
105,SBST,2,48,52369,22.1
105,SBST,2,49,52051,22.9
105,SBST,2,50,52061,23.4
105,SBST,2,51,66011,24
105,SBST,2,52,66021,24.5
105,SBST,2,53,66391,24.9
105,SBST,2,54,66401,25.1
105,SBST,2,55,66411,25.5
105,SBST,2,56,66389,25.8
105,SBST,2,57,66009,25.9
105B,SBST,1,1,28009,0
105B,SBST,1,2,28441,0.7
105B,SBST,1,3,28311,1.1
105B,SBST,1,4,28631,1.6
105B,SBST,1,5,28641,1.9
105B,SBST,1,6,28651,2.5
105B,SBST,1,7,28049,3.1
105B,SBST,1,8,28039,3.5
105B,SBST,1,9,28029,3.8
105B,SBST,1,10,28019,4.4
105B,SBST,1,11,20109,5
105B,SBST,1,12,17189,5.4
105B,SBST,1,13,17179,5.7
106,TTS,1,1,43009,0
106,TTS,1,2,43179,0.6
106,TTS,1,3,43189,1
106,TTS,1,4,43619,1.4
106,TTS,1,5,43629,1.6
106,TTS,1,6,42319,2
106,TTS,1,7,28109,2.7
106,TTS,1,8,28189,3.1
106,TTS,1,9,28019,3.8
106,TTS,1,10,20109,4.4
106,TTS,1,11,17189,4.8
106,TTS,1,12,17179,5.1
106,TTS,1,13,17169,5.4
106,TTS,1,14,17159,5.8
106,TTS,1,15,19049,6.3
106,TTS,1,16,19039,6.8
106,TTS,1,17,19029,7.3
106,TTS,1,18,19019,7.6
106,TTS,1,19,11199,8
106,TTS,1,20,11189,8.5
106,TTS,1,21,11401,8.9
106,TTS,1,22,11239,10
106,TTS,1,23,11229,10.4
106,TTS,1,24,11219,10.6
106,TTS,1,25,11209,11
106,TTS,1,26,13029,11.4
106,TTS,1,27,13019,12.1
106,TTS,1,28,09149,12.2
106,TTS,1,29,09159,12.8
106,TTS,1,30,09169,13.1
106,TTS,1,31,09179,13.4
106,TTS,1,32,09048,13.9
106,TTS,1,33,09038,14.5
106,TTS,1,34,08138,14.9
106,TTS,1,35,08057,15.3
106,TTS,1,36,08069,15.8
106,TTS,1,37,04179,16.1
106,TTS,1,38,02049,16.5
106,TTS,1,39,02151,17.1
106,TTS,1,40,02161,17.8
106,TTS,1,41,02171,18.1
106,TTS,1,42,03509,19
106,TTS,1,43,03519,19.3
106,TTS,1,44,03539,19.9
106,TTS,1,45,03529,20.3
106,TTS,1,46,03129,20.9
106,TTS,1,47,03218,21.4
106,TTS,1,48,03239,21.6
106,TTS,2,1,03239,0
106,TTS,2,2,03222,0.8
106,TTS,2,3,03111,1.5
106,TTS,2,4,03071,1.8
106,TTS,2,5,03381,2.4
106,TTS,2,6,03391,2.6
106,TTS,2,7,03511,3.3
106,TTS,2,8,03501,3.7
106,TTS,2,9,02051,4.4
106,TTS,2,10,02061,4.7
106,TTS,2,11,04111,5.4
106,TTS,2,12,04121,5.8
106,TTS,2,13,08041,6.1
106,TTS,2,14,08031,6.4
106,TTS,2,15,08111,6.9
106,TTS,2,16,08121,7.2
106,TTS,2,17,09059,7.5
106,TTS,2,18,09022,8
106,TTS,2,19,09111,8.5
106,TTS,2,20,09121,8.8
106,TTS,2,21,09131,9.4
106,TTS,2,22,09141,9.7
106,TTS,2,23,13011,10
106,TTS,2,24,13021,10.6
106,TTS,2,25,11201,10.9
106,TTS,2,26,11211,11.2
106,TTS,2,27,11221,11.7
106,TTS,2,28,11231,12.2
106,TTS,2,29,11419,12.9
106,TTS,2,30,11409,13.4
106,TTS,2,31,11181,13.7
106,TTS,2,32,11191,14.2
106,TTS,2,33,19011,14.7
106,TTS,2,34,19021,15.1
106,TTS,2,35,19031,15.5
106,TTS,2,36,19041,15.9
106,TTS,2,37,17151,16.6
106,TTS,2,38,17161,16.9
106,TTS,2,39,17171,17.3
106,TTS,2,40,17181,17.6
106,TTS,2,41,20101,17.9
106,TTS,2,42,28011,18.5
106,TTS,2,43,28181,19.3
106,TTS,2,44,28101,19.7
106,TTS,2,45,42311,20.4
106,TTS,2,46,43621,20.8
106,TTS,2,47,43611,21.1
106,TTS,2,48,43181,21.4
106,TTS,2,49,43171,21.8
106,TTS,2,50,43009,22.3
106A,TTS,1,1,43009,0
106A,TTS,1,2,43179,0.6
106A,TTS,1,3,43189,1
106A,TTS,1,4,43619,1.4
106A,TTS,1,5,43629,1.6
106A,TTS,1,6,42319,2
106A,TTS,1,7,28109,2.7
106A,TTS,1,8,28189,3.1
106A,TTS,1,9,28019,3.8
106A,TTS,1,10,20109,4.4
106A,TTS,1,11,17189,4.8
106A,TTS,1,12,17179,5.1
107,SBST,1,1,64009,0
107,SBST,1,2,64551,0.3
107,SBST,1,3,64529,0.5
107,SBST,1,4,63351,0.8
107,SBST,1,5,63341,1.2
107,SBST,1,6,63059,1.7
107,SBST,1,7,63049,2.1
107,SBST,1,8,63039,2.5
107,SBST,1,9,63029,3
107,SBST,1,10,63019,3.6
107,SBST,1,11,62149,3.9
107,SBST,1,12,62139,4.3
107,SBST,1,13,62129,4.6
107,SBST,1,14,62119,4.9
107,SBST,1,15,61049,5.2
107,SBST,1,16,61039,5.6
107,SBST,1,17,61111,6.1
107,SBST,1,18,61019,6.5
107,SBST,1,19,60269,6.8
107,SBST,1,20,60209,6.9
107,SBST,1,21,60179,7.4
107,SBST,1,22,60221,8
107,SBST,1,23,60039,8.3
107,SBST,1,24,60029,8.8
107,SBST,1,25,60019,9.3
107,SBST,1,26,07369,9.6
107,SBST,1,27,07379,9.8
107,SBST,1,28,01319,10.1
107,SBST,1,29,01219,10.5
107,SBST,1,30,01239,10.8
107,SBST,1,31,01529,11.2
107,SBST,1,32,01519,11.4
107,SBST,1,33,01629,11.8
107,SBST,1,34,01619,12.2
107,SBST,1,35,02029,12.8
107,SBST,1,36,03019,13.6
107,SBST,1,37,03059,13.9
107,SBST,1,38,03129,14.3
107,SBST,1,39,03218,14.8
107,SBST,1,40,03239,15
107,SBST,2,1,03239,0
107,SBST,2,2,03222,0.8
107,SBST,2,3,03111,1.5
107,SBST,2,4,03031,2.1
107,SBST,2,5,03011,2.7
107,SBST,2,6,02111,3.3
107,SBST,2,7,01611,3.9
107,SBST,2,8,01621,4.1
107,SBST,2,9,01511,4.4
107,SBST,2,10,01521,4.7
107,SBST,2,11,01231,5.1
107,SBST,2,12,01211,5.4
107,SBST,2,13,01311,5.7
107,SBST,2,14,07371,6
107,SBST,2,15,60011,6.6
107,SBST,2,16,60021,7.2
107,SBST,2,17,60031,7.7
107,SBST,2,18,60229,8
107,SBST,2,19,60159,8.5
107,SBST,2,20,60161,9.6
107,SBST,2,21,60201,10.2
107,SBST,2,22,60261,10.4
107,SBST,2,23,61119,11
107,SBST,2,24,61031,11.5
107,SBST,2,25,61041,11.8
107,SBST,2,26,62111,12.2
107,SBST,2,27,62121,12.4
107,SBST,2,28,62131,12.7
107,SBST,2,29,62141,13.1
107,SBST,2,30,63011,13.6
107,SBST,2,31,63021,14.1
107,SBST,2,32,63031,14.7
107,SBST,2,33,63041,15
107,SBST,2,34,63051,15.2
107,SBST,2,35,63349,15.7
107,SBST,2,36,63359,16.2
107,SBST,2,37,64521,16.5
107,SBST,2,38,64559,16.7
107,SBST,2,39,64009,17
107M,SBST,1,1,64009,0
107M,SBST,1,2,64551,0.3
107M,SBST,1,3,64529,0.5
107M,SBST,1,4,63351,0.8
107M,SBST,1,5,63341,1.2
107M,SBST,1,6,63059,1.7
107M,SBST,1,7,63049,2.1
107M,SBST,1,8,63039,2.5
107M,SBST,1,9,63029,3
107M,SBST,1,10,63019,3.6
107M,SBST,1,11,62149,3.9
107M,SBST,1,12,62139,4.3
107M,SBST,1,13,62129,4.6
107M,SBST,1,14,62119,4.9
107M,SBST,1,15,61049,5.2
107M,SBST,1,16,61039,5.6
107M,SBST,1,17,61111,6.1
107M,SBST,1,18,61019,6.5
107M,SBST,1,19,60269,6.8
107M,SBST,1,20,60209,6.9
107M,SBST,1,21,60179,7.4
107M,SBST,1,22,60221,8
107M,SBST,1,23,60039,8.3
107M,SBST,1,24,60029,8.8
107M,SBST,1,25,60019,9.3
107M,SBST,1,26,07369,9.6
107M,SBST,1,27,07379,9.8
107M,SBST,1,28,01319,10.1
107M,SBST,1,29,01219,10.5
107M,SBST,1,30,01239,10.8
107M,SBST,1,31,01529,11.2
107M,SBST,1,32,01519,11.4
107M,SBST,1,33,01629,11.8
107M,SBST,1,34,01619,12.2
107M,SBST,1,35,02089,12.8
107M,SBST,1,36,02169,13.2
107M,SBST,1,37,02141,13.7
107M,SBST,1,38,01511,14.2
107M,SBST,1,39,01521,14.5
107M,SBST,1,40,01231,14.9
